group,label,value,profile,jitter,peak_tip_force_N_per_m,peak_root_force_N_per_m,peak_attachment_force_N_per_m,peak_tension_N_per_m,max_panel_curvature_ratio,time_of_peak_s,KE_at_deploy_end_J_per_m,final_tip_force_N_per_m,energy_balance_error,nodes_per_panel,dt_s,wall_time_s,diverged
Hinge stiffness k_hinge,0.00822,0.00822,smooth,0.97,286.1488385801179,305.39283406030916,305.39283406030916,304.8727132345802,2.2280712198109285,27.901399729070192,1.7759289484598677,179.36227500717544,1.3955480351425134e-7,20,7.902233527548187e-6,163.39808201789856,false
Hinge stiffness k_hinge,0.00822,0.00822,smooth,1.0,289.9816833308437,265.06491190081766,289.9816833308437,289.7792310305489,2.604710927620993,29.192790634375648,2.158093972212879,192.61054748032296,8.788826206128675e-8,20,7.902233527548187e-6,94.71759104728699,false
Hinge stiffness k_hinge,0.00822,0.00822,smooth,1.03,270.16273997290403,262.1771848446088,270.16273997290403,269.7939946289962,2.067051588598743,29.437183010682126,1.6666365724682293,117.951113816368,1.3686316340753713e-7,20,7.902233527548187e-6,64.71217203140259,false
Hinge stiffness k_hinge,0.00822,0.00822,constant_then_stop,0.97,325.14747180525416,313.1469765420624,325.14747180525416,324.8622142276698,1.1357794460923616,29.87752707177122,1.035413463605402,179.66001679838533,1.6297785674085754e-5,20,7.902233527548187e-6,184.0259919166565,false
Hinge stiffness k_hinge,0.00822,0.00822,constant_then_stop,1.0,317.2051896872768,304.4476946376135,317.2051896872768,316.8475654742589,1.25746327035589,30.30600197810194,1.0761658814303534,136.77183798342958,1.7358231475773355e-6,20,7.902233527548187e-6,88.47102999687195,false
Hinge stiffness k_hinge,0.00822,0.00822,constant_then_stop,1.03,292.34755005613493,293.71869584182815,293.71869584182815,293.517455854351,1.1089128305679445,31.05281045985641,1.8608866831464488,139.5731672992847,9.994207424076624e-6,20,7.902233527548187e-6,42.22260904312134,false
Hinge stiffness k_hinge,0.0146,0.0146,smooth,0.97,277.88177888419324,286.949754780994,286.949754780994,286.6863604609679,2.8500401765900474,28.10761641520509,1.4000900389087059,139.48305647626933,1.2090702783362238e-7,20,7.902233527548187e-6,212.12267518043518,false
Hinge stiffness k_hinge,0.0146,0.0146,smooth,1.0,291.1310861913294,288.874753134207,291.1310861913294,290.8285731253102,2.3668919392171226,28.846016920486246,1.0010897780986066,165.34510674368335,1.1227624184980679e-7,20,7.902233527548187e-6,78.65461587905884,false
Hinge stiffness k_hinge,0.0146,0.0146,smooth,1.03,274.1397598165163,266.0524251935291,274.1397598165163,274.01993566821835,2.1439600291210645,31.043051201449885,0.6830936642483416,116.02076982829819,8.112289438596494e-8,20,7.902233527548187e-6,42.128260135650635,false
Hinge stiffness k_hinge,0.0146,0.0146,constant_then_stop,0.97,272.6874263328891,275.1759362344202,275.1759362344202,275.05768739917767,1.7719705387146196,29.31745627050624,2.0865797232769534,39.96873052917225,6.9979672800845725e-6,20,7.902233527548187e-6,374.82846093177795,false
Hinge stiffness k_hinge,0.0146,0.0146,constant_then_stop,1.0,299.7770789928754,280.8576232874248,299.7770789928754,299.57356096238635,1.7897471618668153,30.18873283255313,1.3559103881464158,201.59125244261546,1.651815699151532e-6,20,7.902233527548187e-6,86.49018907546997,false
Hinge stiffness k_hinge,0.0146,0.0146,constant_then_stop,1.03,290.415566771283,311.3969731706478,311.3969731706478,311.1607307089961,1.8054994789438668,31.05932190028311,1.903715320785985,91.34142363813567,8.035597423388517e-6,20,7.902233527548187e-6,42.5594699382782,false
Hinge stiffness k_hinge,0.026,0.026,smooth,0.97,437.8872109339445,435.05635635361836,437.8872109339445,437.7318052953423,3.302500318168952,29.01127633024786,4.510653499521229,85.84266745491395,9.861520772441841e-8,20,7.902233527548187e-6,82.18380999565125,false
Hinge stiffness k_hinge,0.026,0.026,smooth,1.0,443.41171406438303,408.1205334428088,443.41171406438303,443.1659903149004,3.297519529072378,28.74354865833453,3.360196648497399,297.5042776472886,7.486763513328765e-8,20,7.902233527548187e-6,114.1510751247406,false
Hinge stiffness k_hinge,0.026,0.026,smooth,1.03,414.1260104260718,409.2698441756976,414.1260104260718,414.042190319113,3.2924618537479247,31.369294912634714,1.7387906483791384,179.91970599719622,5.12520282146334e-8,20,7.902233527548187e-6,39.371317863464355,false
Hinge stiffness k_hinge,0.026,0.026,constant_then_stop,0.97,237.28997311096566,259.6436470076476,259.6436470076476,259.445223516326,3.22131728916195,29.408039573432532,0.9560148978621381,220.36753669285716,1.907158531767268e-5,20,7.902233527548187e-6,86.84719395637512,false
Hinge stiffness k_hinge,0.026,0.026,constant_then_stop,1.0,260.4829445755306,251.12080653350554,260.4829445755306,260.36504871245694,3.251042311764614,30.478586758343596,1.536082369773704,127.090416417587,1.111582775894431e-6,20,7.902233527548187e-6,127.72452092170715,false
Hinge stiffness k_hinge,0.026,0.026,constant_then_stop,1.03,238.8842660673452,238.0338049662365,238.8842660673452,238.7520188127631,3.2782135037419327,31.025610972054587,1.3474365910851993,151.79427087775775,8.919949781513808e-6,20,7.902233527548187e-6,38.614245891571045,false
Hinge stiffness k_hinge,0.0462,0.0462,smooth,0.97,334.4031025037919,335.33274248747523,335.33274248747523,335.27928072654095,4.559485233571801,28.31093298163538,1.372879471074587,274.095544211615,3.555703649143057e-8,20,7.902233527548187e-6,126.75057291984558,false
Hinge stiffness k_hinge,0.0462,0.0462,smooth,1.0,310.3324446469489,320.0065390725221,320.0065390725221,319.8724691059233,4.561351868954138,29.362032769835146,2.2188384698360206,85.80863836491989,3.072353005615477e-8,20,7.902233527548187e-6,82.63329792022705,false
Hinge stiffness k_hinge,0.0462,0.0462,smooth,1.03,241.52316001494864,244.7549032013152,244.7549032013152,244.70995108814284,4.562635502361494,30.984645793447775,1.2617589982852668,219.7650165606788,2.2581080445562625e-8,20,7.902233527548187e-6,37.443787813186646,false
Hinge stiffness k_hinge,0.0462,0.0462,constant_then_stop,0.97,415.3390276820563,410.6548399805708,415.3390276820563,415.2635519892437,4.6017041751234,29.987581478109384,2.340957259701383,138.6476192081046,1.2609230585475018e-5,20,7.902233527548187e-6,88.35908699035645,false
Hinge stiffness k_hinge,0.0462,0.0462,constant_then_stop,1.0,418.5524362465384,432.6348569231152,432.6348569231152,432.53479424543167,4.5959631369177485,31.34821965581674,3.348237233010975,150.23288287810834,1.0373173600804096e-6,20,7.902233527548187e-6,89.98690891265869,false
Hinge stiffness k_hinge,0.0462,0.0462,constant_then_stop,1.03,417.99242048794883,436.2524584839728,436.2524584839728,436.1413279953864,4.590927065616773,31.77248267167728,3.81928975904686,101.98704694236143,5.418365270751821e-6,20,7.902233527548187e-6,273.2300238609314,false
Hinge stiffness k_hinge,0.0822,0.0822,smooth,0.97,161.85708794086997,158.85296219402946,161.85708794086997,161.82374858428517,5.105596773442246,29.793945147750343,0.5435153248295996,122.4538414552815,5.7276373424029325e-8,20,7.902233527548187e-6,108.53466701507568,false
Hinge stiffness k_hinge,0.0822,0.0822,smooth,1.0,173.8344962608205,178.0934205540642,178.0934205540642,178.0740448473459,5.106239876341953,30.726851229078576,0.2505503068746112,114.72934221374672,5.547888914017701e-8,20,7.902233527548187e-6,87.81692409515381,false
Hinge stiffness k_hinge,0.0822,0.0822,smooth,1.03,162.42016986792422,164.67400321921818,164.67400321921818,164.63945755325233,5.106815465141222,31.47659143947176,0.46428031790744373,60.323128633852896,5.674845986788805e-8,20,7.902233527548187e-6,177.0494668483734,false
Hinge stiffness k_hinge,0.0822,0.0822,constant_then_stop,0.97,294.4164266063162,297.0377701779805,297.0377701779805,296.97382585989106,5.079622190769648,29.810982363235738,1.9306059210837352,204.25870469874377,1.1405142143579384e-5,20,7.902233527548187e-6,160.4207799434662,false
Hinge stiffness k_hinge,0.0822,0.0822,constant_then_stop,1.0,304.4542317503798,284.7328946440082,304.4542317503798,304.322699134423,5.080561479887274,30.185500819040357,1.7298326660671186,145.09385809083025,1.1512550710758275e-6,20,7.902233527548187e-6,83.51215291023254,false
Hinge stiffness k_hinge,0.0822,0.0822,constant_then_stop,1.03,229.1799158422514,236.18055924965137,236.18055924965137,236.04505963099393,5.081617439566641,31.1631019332004,1.0449135196897859,173.4065617287669,1.1340881770478435e-5,20,7.902233527548187e-6,178.36043000221252,false
Fold rest angle θ_rest,0.0949π,0.2981371428256714,smooth,0.97,395.23876867862816,421.46373437361757,421.46373437361757,421.09001020636174,4.561064664144882,27.8995664108918,1.915852513491553,360.61460280502314,1.2190373124347656e-7,20,7.902233527548187e-6,134.1458649635315,false
Fold rest angle θ_rest,0.0949π,0.2981371428256714,smooth,1.0,450.5810896469783,450.782814942248,450.782814942248,450.59410241320313,4.545906995406323,31.846660937800372,1.245760294335391,169.11817482675914,9.556527750065234e-8,20,7.902233527548187e-6,81.60061001777649,false
