group,label,value,profile,n,peak_attachment_force_N_per_m_mean,peak_attachment_force_N_per_m_min,peak_attachment_force_N_per_m_max,peak_tip_force_N_per_m_mean,peak_tip_force_N_per_m_min,peak_tip_force_N_per_m_max,peak_tension_N_per_m_mean,peak_tension_N_per_m_min,peak_tension_N_per_m_max,max_panel_curvature_ratio_mean,max_panel_curvature_ratio_min,max_panel_curvature_ratio_max,KE_at_deploy_end_J_per_m_mean,KE_at_deploy_end_J_per_m_min,KE_at_deploy_end_J_per_m_max,final_tip_force_N_per_m_mean,final_tip_force_N_per_m_min,final_tip_force_N_per_m_max
Hinge damping ratio,0.2,0.2,smooth,3,297.6516834356096,287.3873739661387,302.82834468897255,294.3741605526776,277.5548053173428,302.82834468897255,297.5764081650843,287.29574060230266,302.7366590276842,2.3814101390045495,2.379171697099899,2.383473527657991,0.9564833773244734,0.555608861591865,1.4694681183795697,219.55603607968237,180.31846246011042,252.7080695579784
Hinge damping ratio,0.2,0.2,constant_then_stop,3,260.295056375097,255.48262610046783,269.45633100471076,256.1669325886221,255.48262610046783,257.0719596452862,260.23400171615253,255.44899798364452,269.3599518205645,2.328292492867244,2.3227482056515605,2.333526251288922,1.3937668741642255,1.355713773268307,1.4191425514298166,185.2907868891974,147.82817903653117,225.07661280353292
Tip attachment stiffness,1e+04,10000.0,smooth,3,200.39209833961388,174.93132136253982,218.31813774792914,165.2825921162852,155.44188775942823,174.58373558956652,200.2465399909231,174.87459688356566,218.10253053217698,3.2980085871609988,3.2929955241565256,3.302995225727297,0.5450694211888057,0.3090857462700007,0.7116201692516231,78.70603628720008,52.750237834362146,102.51979265113727
Tip attachment stiffness,1e+04,10000.0,constant_then_stop,3,126.9056825064021,125.20571032337746,129.31216132760335,117.32807090516911,103.13842461998131,124.4253614824029,126.86171833558899,125.15440564385928,129.28063740206142,3.2505596978832076,3.2216867149826136,3.27858092510029,0.9462476289623948,0.8350102391507572,1.1591236537676266,36.484503817649056,25.48016169137848,53.22055564329536
Tip attachment stiffness,3.16e+04,31600.0,smooth,3,310.11330692311645,296.37798224865696,332.10211465274176,298.9597942165837,287.07562773895955,318.022893657811,309.98910344099704,296.31622363881644,331.87751449818694,3.2976279528105756,3.2926007502267307,3.302629332405851,3.0728109909350736,2.836846298103496,3.2880443637192247,148.4810878952613,29.08205428219389,242.66979157023107
Tip attachment stiffness,3.16e+04,31600.0,constant_then_stop,3,198.9902696448202,193.2345194103105,204.55987731667105,191.1875255816325,179.06800847528316,201.2600488593039,198.85192038061246,193.03135383133124,204.46688636270733,3.250285037826188,3.221411005368,3.2783076805633553,1.1007451431789,0.749716247985373,1.3753935620886395,106.84321704265176,92.67928846154528,121.38680104291403
Tip attachment stiffness,1e+05,100000.0,smooth,3,431.8083118081331,414.1260104260718,443.41171406438303,431.8083118081331,414.1260104260718,443.41171406438303,431.6466619764519,414.042190319113,443.1659903149004,3.2974939003297514,3.2924618537479247,3.302500318168952,3.2032135987992554,1.7387906483791384,4.510653499521229,187.75555036646628,85.84266745491395,297.5042776472886
Tip attachment stiffness,1e+05,100000.0,constant_then_stop,3,253.00361921684112,238.8842660673452,260.4829445755306,245.55239458461384,237.28997311096566,260.4829445755306,252.85409701384867,238.7520188127631,260.36504871245694,3.250191034889499,3.22131728916195,3.2782135037419327,1.2798446195736803,0.9560148978621381,1.536082369773704,166.41740799606728,127.090416417587,220.36753669285716
Tip attachment stiffness,3.16e+05,316000.0,smooth,3,472.5883003733025,452.1481580206919,484.1282709702857,463.40418430278186,452.1481580206919,481.48847212892997,472.28321916099577,452.0872011921518,483.5805305357255,3.2974500645440674,3.2924164566436307,3.3024581049007433,3.8355123761079883,2.7663897133004083,4.468935981418783,166.10123800118876,76.68624490452672,227.63461697880953
Tip attachment stiffness,3.16e+05,316000.0,constant_then_stop,3,270.3589536351896,258.17911596074003,278.19248447300475,263.6430809838102,254.56914834623106,274.7052604718239,270.2623732121792,258.0619818512533,278.0707422741605,3.250159263009358,3.2212856340510947,3.278181654225556,1.3644551858407692,1.0855048127183278,1.6016333128617526,139.71529812392146,108.01068499047112,173.93875195150054
